UniqueStationID,Park,Loop,Station,Latitude,Longitude,Canopy.m2.2021,CanopyProp2021,Canopy.m2.2016,CanopyProp2016,DeltaCanopy,mDowntown,mMajorWater
78,Discovery,Eastern Edge,DE4,47.6551,-122.4039,5646.357994,0.718916778,6032.405777,0.768069918,-0.063995659,5207.513676,1119.53
79,Discovery,Eastern Edge,DE5,47.6542,-122.4045,5970.147898,0.760142997,6360.402235,0.809831733,-0.061356864,5158.70301,1132.06
80,Discovery,Eastern Edge,DE6,47.6541,-122.4068,3743.384227,0.476622582,4021.657458,0.512053438,-0.069193668,5262.828933,964.01
81,Discovery,Eastern Edge,DE7,47.6545,-122.4083,6475.490049,0.824485172,6755.158334,0.860093651,-0.0414007,5370.998561,875.15
83,Discovery,Eastern Edge,DE9,47.6545,-122.4115,6492.757346,0.826683713,6506.500052,0.828433489,-0.00211215,5534.733229,657.68
84,Discovery,Hidden Valley Trail,DH1,47.6621,-122.4226,5123.384404,0.652329698,3814.458201,0.485672003,0.343148655,6721.725662,390.07
85,Discovery,Hidden Valley Trail,DH2,47.663467,-122.421883,5139.102308,0.654330964,4726.537761,0.601801604,0.08728684,6795.180226,298.35
86,Discovery,Hidden Valley Trail,DH3,47.66605,-122.421233,3097.037313,0.39432712,3329.507571,0.423926159,-0.069821213,6976.664179,174.17
87,Discovery,Hidden Valley Trail,DH4,47.664417,-122.4224,7253.491063,0.923543358,7514.919955,0.956829525,-0.034787981,6899.197917,204.59
88,Discovery,Hidden Valley Trail,DH5,47.663233,-122.425117,7399.769375,0.942168095,7755.367011,0.987444202,-0.045851813,6943.838752,184.65
89,Discovery,Hidden Valley Trail,DH6,47.660883,-122.42675,7515.044372,0.956845367,7852.379378,0.999796202,-0.042959591,6848.324042,221.31
90,Discovery,Hidden Valley Trail,DH7,47.661633,-122.4275,7167.393648,0.912581092,7160.07024,0.911648647,0.001022812,6946.558629,240.86
91,Discovery,Hidden Valley Trail,DH8,47.6609,-122.428317,4793.830423,0.610369574,4737.120774,0.603149075,0.011971333,6935.637668,168.06
92,Discovery,Nike/500,DNI1,47.65652,-122.41035,3602.599006,0.458697247,3477.650221,0.442788271,0.035929083,5641.052916,841.87
93,Discovery,Nike/500,DNI2,47.65797,-122.41033,3638.111312,0.463218815,3139.908204,0.399785612,0.158668049,5761.556097,920.15
94,Discovery,Nike/500,DNI3,47.65875,-122.41167,4297.340193,0.547154461,3956.051573,0.503700235,0.086270013,5892.924141,890.96
95,Discovery,Nike/500,DNI4,47.65693,-122.41151,3907.9181,0.49757169,3578.196649,0.455590242,0.092147381,5733.120904,784.36
101,Discovery,North Beach Trail,DNB5,47.66735,-122.4226,3713.075279,0.472763526,3946.196423,0.502445438,-0.059074896,7153.141555,4.13
104,Discovery,North Loop Trail,DNL1,47.65855,-122.40625,6258.636844,0.796874558,6682.823667,0.850883713,-0.063474191,5617.994865,865.77
106,Discovery,North Loop Trail,DNL3,47.662583,-122.410167,6788.057037,0.864282445,7564.939261,0.963198182,-0.102695104,6152.808772,508.55
107,Discovery,North Loop Trail,DNL4,47.663583,-122.41365,7244.173159,0.922356965,7760.769632,0.988132085,-0.066565109,6401.497286,588.64
