park,loop,station,code
Discovery Park,Wolf Tree Nature Trail,7,DW7
Genesee Park,Main Loop,0,GEM0
Genesee Park,Main Loop,1,GEM1
Genesee Park,Main Loop,2,GEM2
Genesee Park,Main Loop,3,GEM3
Genesee Park,Main Loop,4,GEM4
Genesee Park,Main Loop,5,GEM5
Genesee Park,Main Loop,6,GEM6
Genesee Park,Main Loop,7,GEM7
Genesee Park,Main Loop,8,GEM8
Genesee Park,Main Loop,9,GEM9
Genesee Park,Main Loop,10,GEM10
Golden Gardens Park,Main Loop,0,GGM0
Golden Gardens Park,Main Loop,1,GGM1
Golden Gardens Park,Main Loop,2,GGM2
Golden Gardens Park,Main Loop,3,GGM3
Golden Gardens Park,Main Loop,4,GGM4
Golden Gardens Park,Main Loop,5,GGM5
Golden Gardens Park,Main Loop,6,GGM6
Jenkin's Creek Park,Main Loop,1,JC1
Lake Forest Park,Main Loop,1,LFM1
Lake Forest Park,Main Loop,2,LFM2
Lake Forest Park,Main Loop,3,LFM3
Lincoln Park,North,1,LN1
Lincoln Park,North,2,LN2
Lincoln Park,North,3,LN3
Lincoln Park,North,4,LN4
Lincoln Park,North,5,LN5
Lincoln Park,North,6,LN6
Lincoln Park,South,1,LS1
Lincoln Park,South,2,LS2
Lincoln Park,South,3,LS3
Lincoln Park,South,4,LS4
Lincoln Park,South,5,LS5
Magnuson Park,Back Fence Loop,1,MB1
Magnuson Park,Back Fence Loop,2,MB2
Magnuson Park,Back Fence Loop,3,MB3
Magnuson Park,Back Fence Loop,4,MB4
Magnuson Park,Back Fence Loop,5,MB5
Magnuson Park,Back Fence Loop,6,MB6
Magnuson Park,Back Fence Loop,7,MB7
Magnuson Park,Back Fence Loop,52,
Magnuson Park,Back Fence Loop,54,
Magnuson Park,Main Drag Loop,1,MM1
Magnuson Park,Main Drag Loop,2,MM2
Magnuson Park,Main Drag Loop,3,MM3
Magnuson Park,Main Drag Loop,4,MM4
Magnuson Park,Main Drag Loop,5,MM5
Magnuson Park,Main Drag Loop,6,MM6
Magnuson Park,Main Drag Loop,7,MM7
Magnuson Park,Main Drag Loop,8,MM8
Magnuson Park,Main Drag Loop,51,
Magnuson Park,Main Drag Loop,53,
Magnuson Park,South End Loop,1,MS1
Magnuson Park,South End Loop,2,MS2
Magnuson Park,South End Loop,3,MS3
Magnuson Park,South End Loop,4,MS4
Magnuson Park,South End Loop,5,MS5
Magnuson Park,South End Loop,6,MS6
Magnuson Park,South End Loop,7,MS7
Magnuson Park,South End Loop,53,
Magnuson Park,Waterfront Loop,1,MWF1
Magnuson Park,Waterfront Loop,2,MWF2
Magnuson Park,Waterfront Loop,3,MWF3
Magnuson Park,Waterfront Loop,4,MWF4
Magnuson Park,Waterfront Loop,5,MWF5
Magnuson Park,Waterfront Loop,6,MWF6
Magnuson Park,Waterfront Loop,7,MWF7
Magnuson Park,Waterfront Loop,8,MWF8
Magnuson Park,Waterfront Loop,9,MWF9
Magnuson Park,Wetland Loop,1,MWL1
Magnuson Park,Wetland Loop,2,MWL2
Magnuson Park,Wetland Loop,3,MWL3
Magnuson Park,Wetland Loop,4,MWL4
Seward Park,East Loop,1,SE1
Seward Park,East Loop,2,SE2
Seward Park,East Loop,3,SE3
Seward Park,East Loop,4,SE4
Seward Park,East Loop,5,SE5
Seward Park,East Loop,6,SE6
Seward Park,East Loop,7,SE7
Seward Park,East Loop,8,SE8
Seward Park,West Loop,1,SW1
Seward Park,West Loop,2,SW2
Seward Park,West Loop,3,SW3
Seward Park,West Loop,4,SW4
Seward Park,West Loop,5,SW5
Seward Park,West Loop,6,SW6
Seward Park,West Loop,7,SW7
Seward Park,West Loop,8,SW8
Shadow Lake Bog,Main Loop,1,SLB1
Shadow Lake Bog,Main Loop,2,SLB2
Shadow Lake Bog,Main Loop,3,SLB3
Shadow Lake Bog,Main Loop,4,SLB4
Shadow Lake Bog,Main Loop,5,SLB5
Shadow Lake Bog,Main Loop,6,SLB6
Shadow Lake Bog,Main Loop,7,SLB7
Shadow Lake Bog,Main Loop,8,SLB8
Soos Creek,Main Loop,1,SC1
Soos Creek,Main Loop,2,SC2
Soos Creek,Main Loop,3,SC3
Soos Creek,Main Loop,4,SC4
Walsh Property,Creek Loop,1,WCL1
Walsh Property,Creek Loop,2,WCL2
Walsh Property,Creek Loop,3,WCL3
Walsh Property,Creek Loop,4,WCL4
Walsh Property,Creek Loop,5,WCL5
Walsh Property,Creek Loop,6,WCL6
Walsh Property,Creek Loop,7,WCL7
Walsh Property,Creek Loop,8,WCL8
Walsh Property,Creek Loop,9,WCL9
Walsh Property,Creek Loop,10,WCL10
Walsh Property,Pipeline Loop,1,WPL1
Walsh Property,Pipeline Loop,2,WPL2
Walsh Property,Pipeline Loop,3,WPL3
Walsh Property,Pipeline Loop,4,WPL4
Walsh Property,Pipeline Loop,5,WPL5
Walsh Property,Pipeline Loop,6,WPL6
Washington Park Arboretum,Main Loop,1,AM1
Washington Park Arboretum,Main Loop,2,AM2
Washington Park Arboretum,Main Loop,3,AM3
Washington Park Arboretum,Main Loop,4,AM4
Washington Park Arboretum,Main Loop,5,AM5
Washington Park Arboretum,Main Loop,6,AM6
Washington Park Arboretum,Main Loop,7,AM7
Washington Park Arboretum,Main Loop,8,AM8
Washington Park Arboretum,Main Loop,9,AM9
Washington Park Arboretum,Main Loop,10,AM10
