code,prop_0,prop_1,prop_2,prop_3,prop_4,prop_gsp,prop_na
LN2,0,0,0,0.277993286,0.016559787,0.294553073,0.705446927
LN3,0,0.065072485,0,0.294226804,0.342854228,0.702153518,0.297846482
LN4,0,0.401292335,0,0,0,0.401292335,0.598707665
LN5,0,0,0,0.181352248,0.309343001,0.490695249,0.509304751
LN6,0,0,0,0.366422062,0,0.366422062,0.633577938
LS1,0,0.011414515,0,0.59020157,0,0.601616086,0.398383914
LS3,0,0.700366158,0,0.265939283,0,0.966305441,0.033694559
LS4,0,0.158175997,0,0.828836795,0.010357366,0.997370157,0.002629843
LS5,0,0,0,0.392308896,0.605061331,0.997370226,0.002629774
MB1,0.587164888,0.009522789,0,0.308063176,0,0.904750854,0.095249146
MB2,0.164193388,0,0,0.710994869,0,0.875188257,0.124811743
MB3,0.163221455,0.135708323,0,0.030018,0,0.328947779,0.671052221
MB4,0.925002341,0,0,0,0,0.925002341,0.074997659
MB5,0,0,0.361423935,0,0,0.361423935,0.638576065
MB6,0.420764735,0,0.389233436,0.030526265,0,0.840524436,0.159475564
MM1,0.046662822,0,0,0.733993018,0,0.78065584,0.21934416
MM2,0.40336047,0,0,0,0,0.40336047,0.59663953
MM3,0.572994451,0,0.223900727,0,0,0.796895178,0.203104822
MM4,0.511805059,0,0.018688549,0.466950029,0,0.997443638,0.002556362
MM5,0.97339734,0.002274487,0,0,0,0.975671828,0.024328172
MS1,0,0,0.997370776,0,0,0.997370776,0.002629224
MS2,0.112545958,0,0.338241635,0.49817253,0.001659723,0.950619846,0.049380154
MS3,0.019915157,0,0,0.626597801,0,0.646512957,0.353487043
MS4,0,0,0.096183399,0.568938127,0.038849794,0.70397132,0.29602868
MS5,0,0,0.824481963,0,0,0.824481963,0.175518037
MWF1,0.034526121,0,0,0,0,0.034526121,0.965473879
MWF2,0.094116982,0.035273651,0.001843156,0.322535701,0,0.45376949,0.54623051
MWF3,0.079438226,0.012340762,0,0,0,0.091778989,0.908221011
MWF4,0.055711174,0,0,8.50058E-05,0,0.05579618,0.94420382
MWF5,0.018861122,0,0,0.021956354,0,0.040817476,0.959182524
MWF6,0.024770582,0,0,0,0,0.024770582,0.975229418
MWF7,0.445616918,0,0,0,0,0.445616918,0.554383082
MWF8,0.12847274,0,0,0,0,0.12847274,0.87152726
MWL1,0.01989803,0.353263564,0,0.455586516,0,0.82874811,0.17125189
MWL2,0,0.357686964,0.386351161,0.155560098,0,0.899598223,0.100401777
MWL3,0,0,0.156495402,0.48160382,0,0.638099222,0.361900778
MWL4,0.706568674,0,0,0,0,0.706568674,0.293431326
SE1,0,0,0,0.229903723,0.767466624,0.997370347,0.002629653
SE2,0,0,0,0.980442715,0.01692772,0.997370435,0.002629565
SE3,0,0,0,0.680930497,0.316439919,0.997370416,0.002629584
SE4,0,0,0,0.404825495,0.592544935,0.99737043,0.00262957
SE5,0,0,0,0.189945128,0.608586019,0.798531146,0.201468854
SE6,0,0.043360453,0,0.385186253,0,0.428546707,0.571453293
SE7,0,0.008713201,0.003576231,0.001051591,0.447011879,0.460352901,0.539647099
SE8,0.336202633,0,0,0.586612305,0,0.922814938,0.077185062
SW1,0,0,0,0.008204184,0.00519584,0.013400025,0.986599975
SW2,0,0,0,0.038623083,0.12555225,0.164175333,0.835824667
SW3,0,0,0,0.114345948,0.251203549,0.365549497,0.634450503
SW4,0,0,0,0.015538845,0.391756152,0.407294997,0.592705003
SW5,0,0,0,0,0.997370518,0.997370518,0.002629482
SW6,0,0,0,0,0.997370322,0.997370322,0.002629678
SW7,0,0,0,0,0.997370224,0.997370224,0.002629776
SW8,0,0,0,0.854513335,0.132779209,0.987292543,0.012707457
