park,loop,station,code,latitude,longitude,near_phase_0,near_phase_1,near_phase_2,near_phase_3,near_phase_4
Genesee Park,Main Loop,7,GEM7,47.570483,-122.276383,n,n,n,n,n
Golden Gardens,Main Loop,1,GGM1,47.69015,-122.400067,y,n,y,y,n
Golden Gardens,Main Loop,2,GGM2,47.69205,-122.401417,n,n,n,y,n
Golden Gardens,Main Loop,3,GGM3,47.687183,-122.404467,n,n,n,n,n
Golden Gardens,Main Loop,4,GGM4,47.689133,-122.403233,n,n,n,n,n
Golden Gardens,Main Loop,5,GGM5,47.692767,-122.404617,y,y,n,y,n
Golden Gardens,Main Loop,6,GGM6,47.69415,-122.40455,n,n,n,y,n
Lake Forest Park,Main Loop,1,LFM1,47.752517,-122.275183,n,n,n,n,n
Lake Forest Park,Main Loop,2,LFM2,47.753017,-122.275883,n,n,n,n,n
Magnuson Park,Main Drag Loop,1,MM1,47.6774,-122.2502,y,n,n,y,n
Magnuson Park,Main Drag Loop,2,MM2,47.681,-122.2472,y,n,n,n,n
Magnuson Park,Main Drag Loop,3,MM3,47.684,-122.2485,y,n,y,n,n
Magnuson Park,Main Drag Loop,4,MM4,47.6813,-122.2496,y,n,y,y,n
Magnuson Park,Main Drag Loop,5,MM5,47.6798,-122.2501,y,n,n,n,n
Discovery Park,Nike/500,1,DNI1,47.65652,-122.41035,n,n,y,y,n
Discovery Park,Nike/500,2,DNI2,47.65797,-122.41033,n,n,n,y,n
Discovery Park,Nike/500,3,DNI3,47.65875,-122.41167,n,y,n,y,n
Discovery Park,Nike/500,4,DNI4,47.65693,-122.41151,n,n,n,y,n
Lincoln Park,North,1,LN1,47.530567,-122.393283,n,n,n,y,n
Lincoln Park,North,2,LN2,47.532267,-122.394433,n,n,n,y,y
Lincoln Park,North,3,LN3,47.532133,-122.397333,n,y,n,y,y
Lincoln Park,North,4,LN4,47.533517,-122.396183,n,y,n,n,n
Lincoln Park,North,5,LN5,47.534217,-122.393533,n,n,n,y,y
Lincoln Park,North,6,LN6,47.536,-122.39385,n,n,n,y,n
Cheasty Greenspace,North,1,CGN1,47.564201,-122.298681,n,y,n,n,n
Cheasty Greenspace,North,2,CGN2,47.564661,-122.299379,y,y,n,y,n
Cheasty Greenspace,North,3,CGN3,47.565214,-122.299686,y,y,n,y,n
Cheasty Greenspace,North,4,CGN4,47.566112,-122.299702,y,n,n,y,n
Cheasty Greenspace,North,5,CGN5,47.568122,-122.29927,y,y,n,y,n
