"code","American.Crow","American.Robin","Anna's.Hummingbird","Black-capped.Chickadee","Black-headed.Grosbeak","Black-throated.Gray.Warbler","Chestnut-backed.Chickadee","Dark-eyed.Junco","Golden-crowned.Kinglet","Northern.Flicker","Pacific.Wren","Pileated.Woodpecker","Pine.Siskin","Song.Sparrow","Spotted.Towhee","Swainson's.Thrush","Western.Flycatcher","Western.Wood-Pewee","Wilson's.Warbler","American.Goldfinch","Brown.Creeper","Bushtit","Caspian.Tern","Cedar.Waxwing","Hairy.Woodpecker","Hermit.Thrush","Hutton's.Vireo","Orange-crowned.Warbler","Ruby-crowned.Kinglet","Warbling.Vireo","Glaucous-winged.Gull","Hammond's.Flycatcher","Peregrine.Falcon","Yellow-rumped.Warbler","Downy.Woodpecker","Red-breasted.Nuthatch","Townsend's.Warbler","Barred.Owl","Bewick's.Wren","Cooper's.Hawk","House.Finch","Red-tailed.Hawk","Steller's.Jay","Brown-headed.Cowbird","Double-crested.Cormorant","Fox.Sparrow","Violet-green.Swallow","Merlin","Purple.Finch","Red-breasted.Sapsucker","Varied.Thrush","Band-tailed.Pigeon","Great.Blue.Heron","Mallard","Bald.Eagle","Common.Goldeneye","Short-billed.Gull","White-crowned.Sparrow","Common.Raven","Rock.Pigeon","Western.Tanager","European.Starling","Golden-crowned.Sparrow","Red.Crossbill","Red-breasted.Merganser","Belted.Kingfisher","California.Gull","Common.Merganser","Osprey","Bufflehead","White-winged.Scoter","Barn.Swallow","Barrow's.Goldeneye","Common.Loon","Dunlin","Greater.Scaup","Harlequin.Duck","Horned.Grebe","Iceland.Gull","Northern.Pintail","Northern.Shoveler","Pigeon.Guillemot","Red-necked.Grebe","Red-throated.Loon","Rhinoceros.Auklet","Surf.Scoter","Brant","Canada.Goose","Gadwall","Killdeer","Lesser.Scaup","American.Wigeon","Red-winged.Blackbird","Common.Yellowthroat","Hooded.Merganser","Yellow.Warbler","Olive-sided.Flycatcher","Rufous.Hummingbird","Evening.Grosbeak","Savannah.Sparrow","Willow.Flycatcher","Purple.Martin","Brewer's.Blackbird","American.Coot","Ring-billed.Gull","Mourning.Dove","Pied-billed.Grebe","Ring-necked.Duck","Tree.Swallow","Western.Gull","Eurasian.Wigeon","Bonaparte's.Gull","American.Pipit","Lincoln's.Sparrow","Green-winged.Teal","Marsh.Wren","Virginia.Rail","Northern.Rough-winged.Swallow","Green.Heron","Western.Grebe","Spotted.Sandpiper","Snow.Goose","Cackling.Goose","Vaux's.Swift","Sharp-shinned.Hawk"
"DSM4",0,15,5,3,1,0,2,4,0,1,2,0,6,26,9,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DSM5",5,4,7,4,0,0,0,6,0,0,0,0,2,12,8,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,2,0,6,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DSM6",9,14,3,2,0,0,1,7,1,0,0,0,0,2,9,2,1,0,1,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DSM7",52,13,15,4,1,0,0,9,0,1,0,0,0,6,9,0,0,0,0,2,0,0,0,3,0,0,0,3,1,0,5,0,1,0,0,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DSM8",4,31,5,3,0,0,0,5,0,0,0,0,0,10,7,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DSM9",13,27,3,14,1,0,3,1,13,1,0,1,2,6,4,0,0,0,0,2,1,0,0,2,0,0,0,1,4,0,0,0,0,0,0,3,0,0,2,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DW1",4,13,2,9,1,0,3,2,0,0,18,3,0,18,3,0,10,0,2,4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DW2",3,17,4,15,0,0,5,6,0,1,9,1,16,33,3,0,10,0,10,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DW3",5,12,1,11,0,1,0,1,0,2,9,0,64,39,3,1,6,0,3,2,3,0,1,0,0,0,1,0,0,1,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DW4",17,28,4,10,0,0,3,2,0,0,9,1,40,18,2,1,4,0,2,4,2,0,2,0,0,0,0,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
